Path	Content	URL	Form or Genre	Occurrence	MODS version

/modsCollection/mods		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	598	3.6
/modsCollection/mods/@version	3.6	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/titleInfo		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/titleInfo/title	Biographical Notes	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	2	3.6
/modsCollection/mods/name/@type	personal	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/namePart	Gard, Robert E.	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role/roleTerm	donor	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role/roleTerm/@type	text	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	2	3.6
/modsCollection/mods/name/@type	personal	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/namePart	Albright, W.D.	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role/roleTerm	creator	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/name/role/roleTerm/@type	text	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/originInfo		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/originInfo/dateIssued	1944	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/language		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/language/languageTerm	English	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/language/languageTerm/@type	text	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/note	Biographical notes on W. D. Albright, 1944. Original, typescript, 10 leaves.	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/note/@type	public	http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
/modsCollection/mods/subject		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	2	3.6
/modsCollection/mods/subject/name		http://folklore.library.ualberta.ca/dspCitation.cfm?ID=1	Biographies	1	3.6
